PLATINUM_PRICE_price,CRUDE_OIL_PRICE_timestamp,VALOR_CONTRA_YEN_time_difference,CORN_PRICE_time_difference,VALOR_CONTRA_LIBRA_timestamp,CRUDE_OIL_PRICE_open,CORN_PRICE_open,CRUDE_OIL_PRICE_price,CRUDE_OIL_PRICE_change,high,CRUDE_OIL_PRICE_volume,ind,open,CORN_PRICE_high,COCACOLA_PRICE_open,CRUDE_OIL_PRICE_high,PLATINUM_PRICE_low,TIN_PRICE_open,TIN_PRICE_change,PLATINUM_PRICE_change,count_agg,low,PLATINUM_PRICE_volume,VALOR_CONTRA_YEN_nivel,COCACOLA_PRICE_price,change,VALOR_CONTRA_EURO_time_difference,TIN_PRICE_time_difference,CORN_PRICE_low,timestamp,price,VALOR_CONTRA_LIBRA_nivel,TIN_PRICE_low,CORN_PRICE_price,volume,VALOR_CONTRA_LIBRA_time_difference,PLATINUM_PRICE_high,VALOR_CONTRA_YEN_timestamp,TIN_PRICE_timestamp,TIN_PRICE_high,CORN_PRICE_volume,COCACOLA_PRICE_volume,CORN_PRICE_change,COCACOLA_PRICE_high,COCACOLA_PRICE_timestamp,VALOR_CONTRA_EURO_timestamp,CRUDE_OIL_PRICE_low,COCACOLA_PRICE_low,VALOR_CONTRA_EURO_nivel,PLATINUM_PRICE_open,COCACOLA_PRICE_change,CORN_PRICE_timestamp,TIN_PRICE_price,PLATINUM_PRICE_timestamp,TIN_PRICE_volume,PLATINUM_PRICE_time_difference,CRUDE_OIL_PRICE_time_difference,COCACOLA_PRICE_time_difference
911.4,1582736400,7,7,1582736400,50.08,372.0,48.73,-2.34%,26775.31,863.93K,57,26526.0,374.0,57.92,50.44,908.9,16685.0,-0.27%,-2.60%,1,25752.82,-,0.1734,57.6,-4.42,7,7,368.25,1582761600,25766.64,24.7758,16555.0,370.5,670.37,7,937.7,1582736400,1582736400,16762.5,250.65K,15.84M,-0.54%,58.46,1582736400,1582736400,48.3,57.48,20.855,935.65,-0.38%,1582736400,16662.5,1582736400,-,7,7,7
935.7,1582650000,7,7,1582650000,51.37,373.0,49.9,-2.97%,27542.78,764.99K,56,27159.46,374.75,58.68,52.02,922.75,16517.5,1.12%,-3.15%,1,26890.97,-,0.17270000000000002,57.82,-0.46,7,7,371.25,1582675200,26957.59,24.7483,16517.5,372.5,477.57,7,972.1,1582650000,1582650000,16762.5,119.87K,15.92M,0.07%,59.19,1582650000,1582650000,49.69,57.62,20.6854,965.9,-1.42%,1582650000,16707.5,1582650000,-,7,7,7
966.15,1582563600,7,7,1582563600,52.6,376.25,51.43,-3.65%,28149.2,765.52K,55,28037.65,376.25,59.11,52.64,961.4,16597.5,-0.50%,-1.16%,1,26997.62,-,0.17170000000000002,58.65,-3.15,7,7,370.0,1582588800,27081.36,24.6721,16477.5,372.25,513.27,7,979.9,1582563600,1582563600,16760.0,170.53K,14.42M,-1.26%,59.79,1582563600,1582563600,50.45,58.57,20.6866,976.9,-2.46%,1582563600,16522.5,1582563600,-,7,7,7
977.45,1582477200,17,17,1582563600,52.59,376.25,52.07,-2.45%,28402.93,-,54,28402.93,376.25,59.11,52.62,975.65,16597.5,-0.50%,0.07%,1,27912.44,-,0.17170000000000002,58.65,-3.56,17,17,370.0,1582502400,27960.8,24.6721,16477.5,372.25,458.71,17,981.7,1582563600,1582563600,16760.0,170.53K,14.42M,-1.26%,59.79,1582563600,1582563600,51.66,58.57,20.6866,976.75,-2.46%,1582563600,16522.5,1582477200,-,7,7,17
977.45,1582477200,31,31,1582304400,52.59,378.25,52.07,-2.45%,28650.7966666667,-,53,28650.7966666667,380.5,59.55,52.62,975.65,16585.0,0.26%,0.07%,0,28239.1933333333,-,0.1691,60.13,-2.6333333333,31,31,376.25,1582416000,28304.67,24.4858,16412.5,377.0,410.2866666667,31,981.7,1582304400,1582304400,16632.5,-,10.84M,-0.40%,60.13,1582304400,1582304400,51.66,59.45,20.4373,976.75,0.69%,1582304400,16605.0,1582477200,-,17,17,31
976.75,1582304400,7,7,1582304400,53.74,378.25,53.38,-0.74%,28898.6633333333,-,52,28898.6633333333,380.5,59.55,53.86,972.9,16585.0,0.26%,-0.94%,0,28565.9466666667,-,0.1691,60.13,-1.7066666667,7,7,376.25,1582329600,28648.54,24.4858,16412.5,377.0,361.8633333333,7,990.8,1582304400,1582304400,16632.5,-,10.84M,-0.40%,60.13,1582304400,1582304400,52.55,59.45,20.4373,985.65,0.69%,1582304400,16605.0,1582304400,-,7,7,7
986.05,1582218000,7,7,1582218000,53.5,380.75,53.78,0.92%,29146.53,30.67K,51,29146.53,381.25,59.71,54.5,974.55,16565.0,0.00%,-2.45%,1,28892.7,-,0.168,59.72,-0.78,7,7,378.0,1582243200,28992.41,24.1983,16450.0,378.5,313.44,7,1010.65,1582218000,1582218000,16655.0,173.14K,7.60M,-0.53%,59.86,1582218000,1582218000,53.22,59.13,20.2966,1010.25,-0.08%,1582218000,16562.5,1582218000,-,7,7,7
1010.85,1582131600,7,7,1582131600,52.12,382.25,53.29,2.38%,29368.45,113.68K,50,29296.25,382.75,59.52,53.66,995.2,16505.0,0.68%,1.51%,1,28959.65,-,0.1683,59.77,-0.44,7,7,378.5,1582156800,29219.98,24.1441,16495.0,380.5,289.07,7,1020.9,1582131600,1582131600,16632.5,172.27K,6.27M,-0.65%,59.99,1582131600,1582131600,51.93,59.47,20.0634,995.75,0.40%,1582131600,16562.5,1582131600,-,7,7,7
995.8,1582045200,7,7,1582045200,52.23,378.5,52.05,-0.29%,29409.09,221.77K,49,29312.7,383.25,59.81,52.41,972.0,16642.5,-1.10%,2.33%,1,29274.38,-,0.1695,59.53,0.59,7,7,378.0,1582070400,29348.03,24.2491,16450.0,383.0,242.65,7,996.3,1582045200,1582045200,16777.5,215.11K,10.08M,1.39%,59.93,1582045200,1582045200,50.88,59.45,20.1293,973.05,-0.70%,1582045200,16450.0,1582045200,-,7,7,7
973.1,1581958800,7,17,1581958800,52.34,378.5,52.2,-0.31%,29330.16,-,48,29282.78,383.25,59.81,52.59,967.5,16547.5,0.48%,0.39%,1,29116.81,-,0.1689,59.53,-0.56,7,7,378.0,1581984000,29232.19,24.156,16535.0,383.0,264.16,7,975.35,1581958800,1581958800,16667.5,215.11K,10.08M,1.39%,59.93,1582045200,1581958800,52.05,59.45,20.1139,969.1,-0.70%,1582045200,16632.5,1581958800,-,7,7,17
969.35,1581872400,17,41,1581958800,52.45,378.5,52.36,0.60%,29363.38,-,47,29322.2025,383.25,59.81,52.63,966.8,16547.5,0.48%,0.20%,0,29158.4025,-,0.1689,59.53,-0.4425,17,17,378.0,1581897600,29273.6625,24.156,16535.0,383.0,256.2575,17,969.5,1581958800,1581958800,16667.5,215.11K,10.08M,1.39%,59.93,1582045200,1581958800,52.34,59.45,20.1139,967.3,-0.70%,1582045200,16632.5,1581872400,-,7,7,41
969.35,1581872400,31,31,1581699600,52.45,379.5,52.36,0.60%,29396.6,-,46,29361.625,381.5,59.65,52.63,966.8,16600.0,-0.12%,0.20%,0,29199.995,-,0.1691,59.95,-0.325,31,31,376.25,1581811200,29315.135,24.2001,16520.0,377.75,248.355,31,969.5,1581699600,1581699600,16605.0,-,9.97M,-0.46%,60.06,1581699600,1581699600,52.34,59.65,20.1265,967.3,0.57%,1581699600,16552.5,1581872400,-,17,17,31
