dates,deaths_US,deaths_China,deaths_India,deaths_Canada,deaths_Korea,deaths_Italy,deaths_France,deaths_Germany,deaths_Spain,deaths_Australia,timestamp
29-02-2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582952400.0
01-03-2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1583038800.0
02-03-2020,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583125200.0
03-03-2020,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1583211600.0
04-03-2020,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1583298000.0
05-03-2020,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1583384400.0
06-03-2020,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1583470800.0
07-03-2020,16.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,1583557200.0
08-03-2020,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1583643600.0
09-03-2020,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1583726400.0
10-03-2020,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,1583812800.0
11-03-2020,38.0,3161.0,1.0,1.0,0.0,0.0,48.0,0.0,0.0,3.0,1583899200.0
12-03-2020,39.0,3135.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1583985600.0
13-03-2020,0.0,3131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584072000.0
14-03-2020,54.0,3161.0,0.0,1.0,0.0,0.0,91.0,9.0,0.0,3.0,1584158400.0
15-03-2020,60.0,3134.0,2.0,1.0,0.0,0.0,91.0,0.0,0.0,2.0,1584244800.0
16-03-2020,85.0,3160.0,0.0,4.0,0.0,0.0,148.0,17.0,0.0,3.0,1584331200.0
17-03-2020,108.0,3166.0,0.0,1.0,0.0,0.0,148.0,0.0,533.0,5.0,1584417600.0
18-03-2020,115.0,3169.0,0.0,8.0,0.0,0.0,148.0,28.0,0.0,6.0,1584504000.0
19-03-2020,199.0,3183.0,4.0,9.0,0.0,0.0,243.0,0.0,0.0,6.0,1584590400.0
20-03-2020,244.0,3190.0,0.0,12.0,0.0,0.0,450.0,67.0,0.0,7.0,1584676800.0
21-03-2020,304.0,3179.0,0.0,19.0,0.0,0.0,562.0,84.0,0.0,7.0,1584763200.0
